date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:23	24/24	------	200	untouched ('OK')	text/plain	etag:%2218-576c278dc74c0%22	http://www.duongxidecor.com/robots.txt		(from )
00:30:23	114733/114733	------	200	untouched ('OK')	text/html	date:Wed,%2015%20May%202019%2017:03:02%20GMT	http://www.duongxidecor.com/	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/index.html	(from )
00:30:23	156/156	------	302	error ('')	text/html		http://www.duongxidecor.com/next	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/next.0.delayed	(from http://www.duongxidecor.com/)
00:30:23	116597/116597	------	200	untouched ('')	image/jpeg	etag:%221c775-576c27712b140%22	http://www.duongxidecor.com/librarynews-03-82/images/logo%205.jpg	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/librarynews-03-82/images/logo%205.jpg	(from http://www.duongxidecor.com/)
00:30:23	166584/166584	------	200	untouched ('OK')	text/css	etag:%2228ab8-579af9d3fe000-gzip%22	http://www.duongxidecor.com/news-03/css/stylesheet.css	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/css/stylesheet.css	(from http://www.duongxidecor.com/)
00:30:23	22951/22951	------	200	untouched ('OK')	text/css	etag:%2259a7-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/css/custom.css	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/css/custom.css	(from http://www.duongxidecor.com/)
00:30:23	37413/37413	------	200	untouched ('OK')	text/css	etag:%229225-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/css/font-awesome.css	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/css/font-awesome.css	(from http://www.duongxidecor.com/)
00:30:23	5538/5538	------	200	untouched ('OK')	text/css	etag:%2215a2-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/css/queries.css	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/css/queries.css	(from http://www.duongxidecor.com/)
00:30:23	9663/9663	------	200	untouched ('OK')	text/css	etag:%2225bf-579af96df2f40-gzip%22	http://www.duongxidecor.com/news-03/css/styles.css	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/css/styles.css	(from http://www.duongxidecor.com/)
00:30:23	92629/92629	------	200	untouched ('')	application/javascript	etag:%22169d5-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/js/jquery.min.js	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/js/jquery.min.js	(from http://www.duongxidecor.com/)
00:30:23	9640/9640	------	200	untouched ('')	application/javascript	etag:%2225a8-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/js/option_selection-ea4f4a242e299f2227b2b8038152223f741e90780c0c766883939e8902542bda.js	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/js/option_selection-ea4f4a242e299f2227b2b8038152223f741e90780c0c766883939e8902542bda.js	(from http://www.duongxidecor.com/)
00:30:23	156/156	------	302	error ('')	text/html		http://www.duongxidecor.com/prev	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/prev.1.delayed	(from http://www.duongxidecor.com/)
00:30:23	1220/1220	------	200	untouched ('')	application/javascript	etag:%224c4-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/js/jquery.cookie.js	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/js/jquery.cookie.js	(from http://www.duongxidecor.com/)
00:30:23	72262/72262	------	200	untouched ('')	application/javascript	etag:%2211a46-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/js/handlebars.js	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/js/handlebars.js	(from http://www.duongxidecor.com/)
00:30:23	8187/8187	------	200	untouched ('')	application/javascript	etag:%221ffb-576c278dc74c0-gzip%22	http://www.duongxidecor.com/news-03/js/api.js	D:/website/Clone/http___www.duongxidecor.com_/www.duongxidecor.com/news-03/js/api.js	(from http://www.duongxidecor.com/)
